street_address,living_area,state_code,market_value,CAMPNAME,x,y
1513 WESTRIDGE DR PLANO TX 75075,1830,A1,135464,WILSON EL,-96.723428,33.01090601
10 HIGH MESA PL RICHARDSON TX 75080,2381,A1,238079,HARMONY EL,-96.74191102,32.99185599
1125 BRANDY STA RICHARDSON TX 75080,3008,A1,253326,HARMONY EL,-96.74163501,32.986795
1516 CLIFFBROOK DR PLANO TX 75075,2329,A1,81232,WILSON EL,-96.72394299,33.01105001
10 VISTA CLIFF PL RICHARDSON TX 75080,2878,A1,254313,SHEPARD EL,-96.72482502,32.98648001
1125 BULL RUN RICHARDSON TX 75080,2754,A1,268015,HARMONY EL,-96.74157197,32.98767699
1516 NORTHCREST DR PLANO TX 75075,1973,A1,153335,WILSON EL,-96.72304403,33.00957102
10 WALNUT CREEK PL RICHARDSON TX 75080,2636,A1,226173,HARMONY EL,-96.741706,32.99117299
1125 W LOOKOUT DR RICHARDSON TX 75080,2603,A1,202801,HARMONY EL,-96.741735,32.98853701
1516 WESTLAKE DR PLANO TX 75075,2394,A1,181201,WILSON EL,-96.72213702,33.00909401
10 WILLOW CREEK PL RICHARDSON TX 75080,2221,A1,202499,HARMONY EL,-96.74111198,32.99048199
1126 BRANDY STA RICHARDSON TX 75080,2714,A1,238520,HARMONY EL,-96.74160299,32.987298
1516 WESTRIDGE DR PLANO TX 75075,2278,A1,154855,WILSON EL,-96.72340001,33.01039002
1000 COIT RD PLANO TX 75075,276417,F2,32242334,FRANKFORD EL,-96.76455599,33.01288698
1126 BULL RUN RICHARDSON TX 75080,2685,A1,233941,HARMONY EL,-96.74150601,32.98817198
1517 NORTHCREST DR PLANO TX 75075,2171,A1,152054,WILSON EL,-96.72337604,33.009927
1000 W LOOKOUT DR RICHARDSON TX 75080,2590,A1,221713,HARMONY EL,-96.73729301,32.99124298
1126 MILL SPRINGS RICHARDSON TX 75080,2552,A1,223069,HARMONY EL,-96.74177096,32.98643801
1517 WESTLAKE DR PLANO TX 75075,1882,A1,156836,WILSON EL,-96.722881,33.00917502
1001 CUSTER RD PLANO TX 75075,0,M7,1428493,WILSON EL,-96.73442799,33.01278301
1126 W LOOKOUT DR RICHARDSON TX 75080,2745,A1,196469,HARMONY EL,-96.74195503,32.98917701
1517 WESTRIDGE DR PLANO TX 75075,2539,A1,153088,WILSON EL,-96.72366898,33.01081699
1001 VALLEY CREEK DR PLANO TX 75075,2386,A1,175055,WILSON EL,-96.74811296,33.011668
1127 BRANDY STA RICHARDSON TX 75080,2232,A1,186612,HARMONY EL,-96.74188202,32.986809
1520 CLIFFBROOK DR PLANO TX 75075,2251,A1,172041,WILSON EL,-96.72428002,33.011064
1001 W PRESIDENT GEORGE BUSH HWY RICHARDSON TX 75080,86261,F1,7700000,WILSON EL,-96.74189904,33.002599
1127 BULL RUN RICHARDSON TX 75080,2597,A1,260453,HARMONY EL,-96.74181597,32.987665
1520 NORTHCREST DR PLANO TX 75075,2492,A1,168203,WILSON EL,-96.72325701,33.00945698
1002 W LOOKOUT DR RICHARDSON TX 75080,2398,A1,233878,HARMONY EL,-96.73755201,32.99115799
1127 W LOOKOUT DR RICHARDSON TX 75080,2425,A1,192029,HARMONY EL,-96.74199501,32.98853701
1520 WESTLAKE DR PLANO TX 75075,1671,A1,138287,WILSON EL,-96.72241698,33.00894301
11 CROWN PL RICHARDSON TX 75080,2319,A1,197809,ALDRIDGE EL,-96.73043997,32.993899
11 HIGH MESA PL RICHARDSON TX 75080,2860,A1,244188,HARMONY EL,-96.74162897,32.99200201
11 VISTA CLIFF PL RICHARDSON TX 75080,2208,A1,147988,SHEPARD EL,-96.72456199,32.986486
11 WALNUT CREEK PL RICHARDSON TX 75080,2640,A1,225039,HARMONY EL,-96.74138699,32.99100401
11 WILLOW CREEK PL RICHARDSON TX 75080,2490,A1,200000,HARMONY EL,-96.74090603,32.99023401
1100 PITTSBURG LNDG RICHARDSON TX 75080,1878,A1,233624,HARMONY EL,-96.74168404,32.98976299
1100 TIMBERVIEW LN RICHARDSON TX 75080,2232,A1,224746,HARMONY EL,-96.74179996,32.99718399
1101 PITTSBURG LNDG RICHARDSON TX 75080,2936,A1,269341,HARMONY EL,-96.741821,32.98955399
1102 CHAPEL CREEK CT RICHARDSON TX 75080,2754,A1,291804,HARMONY EL,-96.74134197,32.993654
1102 GLENFIELD CT RICHARDSON TX 75080,2958,A1,262296,HARMONY EL,-96.74142797,32.99458598
1102 HIGH VISTA LN RICHARDSON TX 75080,2906,A1,240462,HARMONY EL,-96.74165403,32.995539
1102 PITTSBURG LNDG RICHARDSON TX 75080,2755,A1,258252,HARMONY EL,-96.74183299,32.990016
1102 TIMBERVIEW LN RICHARDSON TX 75080,2345,A1,219893,HARMONY EL,-96.74209098,32.99711501
1102 W LOOKOUT DR RICHARDSON TX 75080,2495,A1,232212,HARMONY EL,-96.73873101,32.99076999
1103 CHAPEL CREEK CT RICHARDSON TX 75080,2350,A1,228079,HARMONY EL,-96.74115003,32.99318599
1103 GLENFIELD CT RICHARDSON TX 75080,3239,A1,225694,HARMONY EL,-96.74134298,32.994115
1103 HIGH VISTA LN RICHARDSON TX 75080,2395,A1,223933,HARMONY EL,-96.74156996,32.99504799
1103 PITTSBURG LNDG RICHARDSON TX 75080,2343,A1,242312,HARMONY EL,-96.74217396,32.98951199
1103 TIMBERVIEW LN RICHARDSON TX 75080,2435,A1,274748,HARMONY EL,-96.74177398,32.99664101
1104 CHAPEL CREEK CT RICHARDSON TX 75080,2682,A1,232991,HARMONY EL,-96.74158396,32.993532
1104 GLENFIELD CT RICHARDSON TX 75080,2570,A1,260808,HARMONY EL,-96.74175202,32.99450698
1104 HIGH VISTA LN RICHARDSON TX 75080,2540,A1,233593,HARMONY EL,-96.741935,32.995482
1104 PITTSBURG LNDG RICHARDSON TX 75080,2561,A1,229367,HARMONY EL,-96.74217497,32.99007098
1104 TIMBERVIEW LN RICHARDSON TX 75080,2733,A1,277251,HARMONY EL,-96.74231101,32.99692202
1104 W LOOKOUT DR RICHARDSON TX 75080,2522,A1,212966,HARMONY EL,-96.73896604,32.99065801
1105 CHAPEL CREEK CT RICHARDSON TX 75080,2396,A1,221102,HARMONY EL,-96.74139,32.99303298
1105 GLENFIELD CT RICHARDSON TX 75080,2507,A1,225440,HARMONY EL,-96.74164599,32.993985
1105 HIGH VISTA LN RICHARDSON TX 75080,2552,A1,254000,HARMONY EL,-96.74181103,32.99494699
1105 PITTSBURG LNDG RICHARDSON TX 75080,2397,A1,273185,HARMONY EL,-96.74244,32.98955202
1106 CHAPEL CREEK CT RICHARDSON TX 75080,3373,A1,260000,HARMONY EL,-96.74181396,32.99341201
1106 GLENFIELD CT RICHARDSON TX 75080,2426,A1,224086,HARMONY EL,-96.74201596,32.99444801
1106 HIGH VISTA LN RICHARDSON TX 75080,2688,A1,238558,HARMONY EL,-96.74225703,32.99542798
1106 PITTSBURG LNDG RICHARDSON TX 75080,2412,A1,200961,HARMONY EL,-96.74246096,32.99007098
1128 BRANDY STA RICHARDSON TX 75080,2766,A1,240337,HARMONY EL,-96.74183902,32.98730399
1520 WESTRIDGE DR PLANO TX 75075,1849,A1,139119,WILSON EL,-96.72363596,33.01028801
1128 BULL RUN RICHARDSON TX 75080,2756,A1,267230,HARMONY EL,-96.74177004,32.98816599
1521 NORTHCREST DR PLANO TX 75075,2033,A1,163294,WILSON EL,-96.72363596,33.00980102
1128 MILL SPGS RICHARDSON TX 75080,2820,A1,220268,HARMONY EL,-96.74201303,32.98643299
1521 WESTLAKE DR PLANO TX 75075,2422,A1,165873,WILSON EL,-96.72310899,33.00907502
1128 W LOOKOUT DR RICHARDSON TX 75080,2329,A1,201401,HARMONY EL,-96.74220598,32.98917299
1521 WESTRIDGE DR PLANO TX 75075,2360,A1,149390,WILSON EL,-96.72387602,33.010703
1129 BRANDY STA RICHARDSON TX 75080,2969,A1,254843,HARMONY EL,-96.74213499,32.98679701
1524 NORTHCREST DR PLANO TX 75075,1895,A1,141084,WILSON EL,-96.72350202,33.00935401
1129 BULL RUN RICHARDSON TX 75080,3530,EX9,262349,HARMONY EL,-96.74205201,32.98767502
1524 WESTLAKE DR PLANO TX 75075,2307,A1,171547,WILSON EL,-96.72270699,33.008747
1129 W LOOKOUT DR RICHARDSON TX 75080,2381,A1,176079,HARMONY EL,-96.74224001,32.98853601
1525 NORTHCREST DR PLANO TX 75075,2235,A1,165423,WILSON EL,-96.72385598,33.00969201
1130 BRANDY STA RICHARDSON TX 75080,2794,A1,268275,HARMONY EL,-96.74208402,32.987299
1525 WESTLAKE DR PLANO TX 75075,1970,A1,144882,WILSON EL,-96.723326,33.00895298
1528 NORTHCREST DR PLANO TX 75075,1991,A1,148287,WILSON EL,-96.72372397,33.00925498
1528 WESTLAKE DR PLANO TX 75075,2449,A1,182880,WILSON EL,-96.722968,33.00862299
1529 WESTLAKE DR PLANO TX 75075,2138,A1,149253,WILSON EL,-96.72353898,33.00888299
1532 WESTLAKE DR PLANO TX 75075,2292,A1,165043,WILSON EL,-96.72324402,33.00847198
16 CROWN PL RICHARDSON TX 75080,2729,A1,222482,ALDRIDGE EL,-96.72967898,32.99411299
16 HIGH MESA PL RICHARDSON TX 75080,2441,A1,245803,HARMONY EL,-96.74031804,32.99257902
16 WALNUT CREEK PL RICHARDSON TX 75080,2094,A1,209140,HARMONY EL,-96.74004596,32.99166199
16 WILLOW CREEK PL RICHARDSON TX 75080,2249,A1,245988,HARMONY EL,-96.73961798,32.99082502
1600 NORTHCREST DR PLANO TX 75075,2666,A1,162000,WILSON EL,-96.72391801,33.00914501
1600 W PLANO PKWY PLANO TX 75075,102000,F2,4402684,WILSON EL,-96.72123999,33.00672
1600 W PLANO PKWY PLANO TX 75075,0,F3,776944,WILSON EL,-96.72123999,33.00672
1600 WESTLAKE DR PLANO TX 75075,2629,A1,183803,WILSON EL,-96.72352498,33.008352
1600 WESTRIDGE DR PLANO TX 75075,1920,A1,138625,WILSON EL,-96.72387602,33.01018298
1601 NORTHCREST DR PLANO TX 75075,2679,A1,176243,WILSON EL,-96.72410803,33.00961599
1601 WESTLAKE DR PLANO TX 75075,2309,A1,155539,WILSON EL,-96.72379798,33.00873602
1601 WESTRIDGE DR PLANO TX 75075,2104,A1,152509,WILSON EL,-96.724118,33.01057999
1604 NORTHCREST DR PLANO TX 75075,2178,A1,155849,WILSON EL,-96.72419998,33.00905801
1604 WESTLAKE DR PLANO TX 75075,2296,A1,190328,WILSON EL,-96.723858,33.00824898
1604 WESTRIDGE DR PLANO TX 75075,2071,A1,170678,WILSON EL,-96.72408699,33.01008898
1605 NORTHCREST DR PLANO TX 75075,1934,A1,144236,WILSON EL,-96.72432897,33.00951499
1605 WESTLAKE DR PLANO TX 75075,2160,A1,135910,WILSON EL,-96.72405103,33.00867202
1605 WESTRIDGE DR PLANO TX 75075,1971,A1,142245,WILSON EL,-96.72434398,33.01049701
1608 NORTHCREST DR PLANO TX 75075,1640,A1,135747,WILSON EL,-96.72448899,33.00903801
1608 WESTLAKE DR PLANO TX 75075,2003,A1,171759,WILSON EL,-96.72417098,33.00816802
1137 BRANDY STA RICHARDSON TX 75080,2785,A1,116810,HARMONY EL,-96.74313696,32.986816
1737 MIDCREST DR PLANO TX 75075,2070,A1,123104,WILSON EL,-96.72773002,33.01177898
1130 BULL RUN RICHARDSON TX 75080,3415,A1,293410,HARMONY EL,-96.74200599,32.98817701
17402 ENERGY LN DALLAS TX 75252,1305,A1,119845,FRANKFORD EL,-96.77736102,32.98814302
1137 BULL RUN RICHARDSON TX 75080,2121,A1,223139,HARMONY EL,-96.743015,32.987672
17403 ENERGY LN DALLAS TX 75252,1891,A1,145997,FRANKFORD EL,-96.77783997,32.98815601
1130 MILL SPGS RICHARDSON TX 75080,3363,A1,245328,HARMONY EL,-96.74224697,32.98643299
1138 BRANDY STA RICHARDSON TX 75080,2684,A1,191547,HARMONY EL,-96.74305096,32.98729201
17406 ENERGY LN DALLAS TX 75252,1305,A1,124045,FRANKFORD EL,-96.77737502,32.98825999
1130 W LOOKOUT DR RICHARDSON TX 75080,2700,A1,203526,HARMONY EL,-96.74238703,32.98917399
1138 BULL RUN RICHARDSON TX 75080,2768,A1,226989,HARMONY EL,-96.74297703,32.98817701
17407 ENERGY LN DALLAS TX 75252,2226,A1,169255,FRANKFORD EL,-96.77792496,32.988219
1131 BRANDY STA RICHARDSON TX 75080,3113,A1,226616,HARMONY EL,-96.74238602,32.98681101
1138 MILL SPGS RICHARDSON TX 75080,2274,A1,166976,HARMONY EL,-96.74320401,32.986443
17410 ENERGY LN DALLAS TX 75252,1818,A1,152586,FRANKFORD EL,-96.777414,32.98835802
1131 BULL RUN RICHARDSON TX 75080,2641,A1,206922,HARMONY EL,-96.74228896,32.98766701
12 CROWN PL RICHARDSON TX 75080,2452,A1,224000,ALDRIDGE EL,-96.730287,32.99393399
17411 ENERGY LN DALLAS TX 75252,1305,A1,121945,FRANKFORD EL,-96.77793602,32.98833601
1131 W LOOKOUT DR RICHARDSON TX 75080,2416,A1,174764,HARMONY EL,-96.74248703,32.98853701
12 HIGH MESA PL RICHARDSON TX 75080,2576,A1,234842,HARMONY EL,-96.74134399,32.992059
17414 ENERGY LN DALLAS TX 75252,1294,A1,130320,FRANKFORD EL,-96.77742196,32.98844598
1132 BRANDY STA RICHARDSON TX 75080,2637,A1,202000,HARMONY EL,-96.74231897,32.98730801
12 VISTA CLIFF PL RICHARDSON TX 75080,2254,A1,219459,SHEPARD EL,-96.72430198,32.98646002
17415 ENERGY LN DALLAS TX 75252,1472,A1,135649,FRANKFORD EL,-96.77798397,32.988413
1132 BULL RUN RICHARDSON TX 75080,2582,A1,206309,HARMONY EL,-96.74225099,32.988168
12 WALNUT CREEK PL RICHARDSON TX 75080,2205,A1,206266,HARMONY EL,-96.741059,32.99115799
17418 ENERGY LN DALLAS TX 75252,1305,A1,124045,FRANKFORD EL,-96.77747301,32.98854099
1132 MILL SPGS RICHARDSON TX 75080,3150,A1,262531,HARMONY EL,-96.74248803,32.986429
1132 W LOOKOUT DR RICHARDSON TX 75080,2245,A1,193218,HARMONY EL,-96.74264,32.98917198
1133 BRANDY STA RICHARDSON TX 75080,2652,A1,231128,HARMONY EL,-96.74263899,32.986803
1133 BULL RUN RICHARDSON TX 75080,2666,A1,243370,HARMONY EL,-96.74252801,32.98769199
1133 W LOOKOUT DR RICHARDSON TX 75080,2248,A1,175270,HARMONY EL,-96.74273304,32.98854401
1134 BRANDY STA RICHARDSON TX 75080,2712,A1,222999,HARMONY EL,-96.74256397,32.98730001
1134 BULL RUN RICHARDSON TX 75080,2240,A1,211815,HARMONY EL,-96.74249097,32.98817801
1134 MILL SPGS RICHARDSON TX 75080,2583,A1,179042,HARMONY EL,-96.74278098,32.986442
1134 W LOOKOUT DR RICHARDSON TX 75080,2616,A1,203079,HARMONY EL,-96.74296899,32.98917299
1135 BRANDY STA RICHARDSON TX 75080,2816,A1,283760,HARMONY EL,-96.74289003,32.98681298
1135 BULL RUN RICHARDSON TX 75080,2261,A1,230129,HARMONY EL,-96.74276899,32.98766898
1135 W LOOKOUT DR RICHARDSON TX 75080,2049,A1,154892,HARMONY EL,-96.742971,32.98854099
1136 BRANDY STA RICHARDSON TX 75080,2428,A1,212771,HARMONY EL,-96.742813,32.98728002
1136 BULL RUN RICHARDSON TX 75080,2805,A1,212739,HARMONY EL,-96.74273597,32.988168
1136 MILL SPGS RICHARDSON TX 75080,2058,A1,181272,HARMONY EL,-96.74296404,32.98643198
1708 WESTLAKE DR PLANO TX 75075,1900,A1,141570,WILSON EL,-96.72693902,33.008668
17419 ENERGY LN DALLAS TX 75252,1472,A1,138357,FRANKFORD EL,-96.778018,32.98850499
12 WILLOW CREEK PL RICHARDSON TX 75080,2283,A1,218908,HARMONY EL,-96.74055701,32.99023598
17422 ENERGY LN DALLAS TX 75252,1818,A1,152586,FRANKFORD EL,-96.77750896,32.98863202
1708 WESTRIDGE DR PLANO TX 75075,2252,A1,151356,WILSON EL,-96.72642403,33.01041902
13 CROWN PL RICHARDSON TX 75080,1986,A1,197701,ALDRIDGE EL,-96.73013797,32.99399799
17423 ENERGY LN DALLAS TX 75252,1829,A1,153000,FRANKFORD EL,-96.77801297,32.988614
1709 MIDCREST DR PLANO TX 75075,2345,A1,151877,WILSON EL,-96.72590804,33.01173401
13 HIGH MESA PL RICHARDSON TX 75080,2875,A1,247221,HARMONY EL,-96.74105104,32.99219198
17426 ENERGY LN DALLAS TX 75252,1294,A1,130320,FRANKFORD EL,-96.77752799,32.98872502
1709 NORTHCREST DR PLANO TX 75075,2256,A1,136845,WILSON EL,-96.72668102,33.01000499
13 VISTA CLIFF PL RICHARDSON TX 75080,2436,A1,275408,SHEPARD EL,-96.72404097,32.98643198
17427 ENERGY LN DALLAS TX 75252,1305,A1,124045,FRANKFORD EL,-96.77807198,32.98870402
1709 WESTLAKE DR PLANO TX 75075,1769,A1,123358,WILSON EL,-96.726965,33.00911999
13 WALNUT CREEK PL RICHARDSON TX 75080,2757,A1,245170,HARMONY EL,-96.74080704,32.99123502
17430 ENERGY LN DALLAS TX 75252,1829,A1,154200,FRANKFORD EL,-96.77758901,32.988823
1709 WESTRIDGE DR PLANO TX 75075,1774,A1,133119,WILSON EL,-96.72623603,33.01085802
13 WILLOW CREEK PL RICHARDSON TX 75080,2068,A1,231909,HARMONY EL,-96.74032399,32.990404
17431 ENERGY LN DALLAS TX 75252,1294,A1,130320,FRANKFORD EL,-96.77811196,32.988787
1712 MIDCREST DR PLANO TX 75075,1824,A1,135528,WILSON EL,-96.72668496,33.01127401
1301 PRES GEO BUSH TPKE RICHARDSON TX 75080,157592,F3,14150000,HARMONY EL,-96.75294813,33.00121309
17434 ENERGY LN DALLAS TX 75252,1950,A1,158677,FRANKFORD EL,-96.777616,32.988902
1712 NORTHCREST DR PLANO TX 75075,1982,A1,129893,WILSON EL,-96.72715099,33.009554
1311 PRES GEO BUSH TPKE RICHARDSON TX 75080,157592,F3,19634100,HARMONY EL,-96.75363992,33.00093124
17435 ENERGY LN DALLAS TX 75252,1305,A1,124045,FRANKFORD EL,-96.77815303,32.98892199
1712 WESTLAKE DR PLANO TX 75075,1886,A1,135925,WILSON EL,-96.72721897,33.00869
14 CROWN PL RICHARDSON TX 75080,2401,A1,227125,ALDRIDGE EL,-96.72999497,32.99403499
17438 ENERGY LN DALLAS TX 75252,1818,A1,152586,FRANKFORD EL,-96.777658,32.98900501
1712 WESTRIDGE DR PLANO TX 75075,2292,A1,138320,WILSON EL,-96.72662796,33.01039098
14 HIGH MESA PL RICHARDSON TX 75080,2456,A1,223706,HARMONY EL,-96.74078802,32.99229202
17439 ENERGY LN DALLAS TX 75252,1294,A1,130320,FRANKFORD EL,-96.77819201,32.989002
1713 MIDCREST DR PLANO TX 75075,2364,A1,156962,WILSON EL,-96.72616503,33.01172898
14 VISTA CLIFF PL RICHARDSON TX 75080,1846,A1,197789,SHEPARD EL,-96.72379404,32.986406
17442 ENERGY LN DALLAS TX 75252,1294,A1,130320,FRANKFORD EL,-96.77766898,32.98910401
1713 NORTHCREST DR PLANO TX 75075,1794,A1,135136,WILSON EL,-96.72694899,33.01000499
14 WALNUT CREEK PL RICHARDSON TX 75080,2486,A1,228145,HARMONY EL,-96.74054704,32.99135702
14 WILLOW CREEK PL RICHARDSON TX 75080,2518,A1,223735,HARMONY EL,-96.74009399,32.99054699
15 CROWN PL RICHARDSON TX 75080,2168,A1,186782,ALDRIDGE EL,-96.72983899,32.99407598
15 HIGH MESA PL RICHARDSON TX 75080,2323,A1,222616,HARMONY EL,-96.74056698,32.99244
15 VISTA CLIFF PL RICHARDSON TX 75080,2430,A1,203008,SHEPARD EL,-96.72351702,32.98638299
15 WALNUT CREEK PL RICHARDSON TX 75080,2276,A1,235090,HARMONY EL,-96.74031201,32.99150701
15 WILLOW CREEK PL RICHARDSON TX 75080,2655,A1,239605,HARMONY EL,-96.73984497,32.99068898
1500 CLIFFBROOK DR PLANO TX 75075,2333,A1,156775,WILSON EL,-96.723068,33.011632
1500 NORTHCREST DR PLANO TX 75075,1914,A1,117956,WILSON EL,-96.72216996,33.01006098
1500 WESTLAKE DR PLANO TX 75075,2081,A1,173876,WILSON EL,-96.72078502,33.00937899
1501 CLIFFBROOK DR PLANO TX 75075,2308,A1,160720,WILSON EL,-96.72375498,33.011747
1501 NORTHCREST DR PLANO TX 75075,2477,A1,161582,WILSON EL,-96.72243399,33.01047702
1501 WESTLAKE DR PLANO TX 75075,2090,A1,152204,WILSON EL,-96.72196603,33.00973899
1501 WESTRIDGE DR PLANO TX 75075,2374,A1,158780,WILSON EL,-96.722752,33.01136898
1504 CLIFFBROOK DR PLANO TX 75075,1841,A1,135636,WILSON EL,-96.72328702,33.011452
1504 NORTHCREST DR PLANO TX 75075,1902,A1,139499,WILSON EL,-96.72238697,33.00996099
1504 WESTLAKE DR PLANO TX 75075,2658,A1,239517,WILSON EL,-96.72118299,33.009179
1504 WESTRIDGE DR PLANO TX 75075,2901,A1,184192,WILSON EL,-96.72265603,33.01079901
1505 CLIFFBROOK DR PLANO TX 75075,2085,A1,146410,WILSON EL,-96.723959,33.01162601
1505 NORTHCREST DR PLANO TX 75075,2461,A1,162883,WILSON EL,-96.72266098,33.010337
1505 WESTLAKE DR PLANO TX 75075,2252,A1,141865,WILSON EL,-96.72220399,33.009603
1505 WESTRIDGE DR PLANO TX 75075,1984,A1,143657,WILSON EL,-96.72301402,33.01115398
1508 CLIFFBROOK DR PLANO TX 75075,1859,A1,137319,WILSON EL,-96.72350998,33.01132099
1508 NORTHCREST DR PLANO TX 75075,1752,A1,141071,WILSON EL,-96.72258202,33.00985001
1508 WESTLAKE DR PLANO TX 75075,2961,A1,203071,WILSON EL,-96.72155498,33.009351
1508 WESTRIDGE DR PLANO TX 75075,2290,A1,156057,WILSON EL,-96.72292098,33.01066201
1509 CLIFFBROOK DR PLANO TX 75075,2125,A1,161754,WILSON EL,-96.72422001,33.011574
1509 NORTHCREST DR PLANO TX 75075,2416,A1,161102,WILSON EL,-96.72290296,33.01019501
1509 WESTLAKE DR PLANO TX 75075,1947,A1,143352,WILSON EL,-96.72245998,33.00946302
1509 WESTRIDGE DR PLANO TX 75075,2174,A1,150959,WILSON EL,-96.72319499,33.01104502
17443 ENERGY LN DALLAS TX 75252,1829,A1,154200,FRANKFORD EL,-96.77820299,32.98911
1713 WESTLAKE DR PLANO TX 75075,1836,A1,135025,WILSON EL,-96.72724102,33.00915402
17446 ENERGY LN DALLAS TX 75252,1829,A1,154200,FRANKFORD EL,-96.77773,32.989189
1713 WESTRIDGE DR PLANO TX 75075,2069,A1,136758,WILSON EL,-96.72649796,33.010876
17447 ENERGY LN DALLAS TX 75252,1294,A1,130320,FRANKFORD EL,-96.77827901,32.989183
1716 MIDCREST DR PLANO TX 75075,2080,A1,132643,WILSON EL,-96.72693801,33.01128202
17450 ENERGY LN DALLAS TX 75252,1829,A1,154200,FRANKFORD EL,-96.77776101,32.98928799
1716 NORTHCREST DR PLANO TX 75075,2150,A1,147964,WILSON EL,-96.72743003,33.00954998
17451 ENERGY LN DALLAS TX 75252,1818,A1,152586,FRANKFORD EL,-96.778334,32.989276
1716 WESTLAKE DR PLANO TX 75075,1821,A1,141233,WILSON EL,-96.727482,33.008691
17454 ENERGY LN DALLAS TX 75252,1818,A1,152586,FRANKFORD EL,-96.77774098,32.989398
1716 WESTRIDGE DR PLANO TX 75075,1957,A1,163527,WILSON EL,-96.72694597,33.01041101
17455 ENERGY LN DALLAS TX 75252,1829,A1,154200,FRANKFORD EL,-96.77837398,32.98936699
1717 MIDCREST DR PLANO TX 75075,1970,A1,128738,WILSON EL,-96.72642998,33.01174101
17458 ENERGY LN DALLAS TX 75252,1818,A1,152586,FRANKFORD EL,-96.77776101,32.98948798
1717 NORTHCREST DR PLANO TX 75075,2068,A1,146096,WILSON EL,-96.727209,33.01002599
17462 ENERGY LN DALLAS TX 75252,1294,A1,130320,FRANKFORD EL,-96.77781801,32.98961702
1717 W PLANO PKWY PLANO TX 75075,11000,F1,789342,WILSON EL,-96.72189504,33.00778601
17490 MEANDERING WAY DALLAS TX 75252,1220,A3,120080,FRANKFORD EL,-96.77847003,32.99040001
1717 WESTLAKE DR PLANO TX 75075,2184,A1,150325,WILSON EL,-96.72752198,33.00915901
1717 WESTRIDGE DR PLANO TX 75075,1961,A1,141103,WILSON EL,-96.726778,33.01088199
1608 WESTRIDGE DR PLANO TX 75075,2238,A1,174211,WILSON EL,-96.72436602,33.01001602
17490 MEANDERING WAY DALLAS TX 75252,1193,A3,108835,FRANKFORD EL,-96.77847003,32.99040001
17490 MEANDERING WAY DALLAS TX 75252,1193,A3,108835,FRANKFORD EL,-96.77847003,32.99040001
17490 MEANDERING WAY DALLAS TX 75252,955,A3,90672,FRANKFORD EL,-96.77847003,32.99040001
17490 MEANDERING WAY DALLAS TX 75252,774,A3,74189,FRANKFORD EL,-96.77847003,32.99040001
1609 NORTHCREST DR PLANO TX 75075,1831,A1,125955,WILSON EL,-96.72460097,33.00949298
17490 MEANDERING WAY DALLAS TX 75252,1220,A3,109255,FRANKFORD EL,-96.77847003,32.99040001
