Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Alabama

Year,Population,Violent crime total
1987,2834000,6553
1988,2834000,7279
1989,2840000,7563
1990,2776755,8321
1991,2795000,8477
1992,2812000,7816
1993,2814000,9159
1994,2829000,8914
1995,2842000,10071
1996,2852000,7771
1997,2852000,8841
1998,2862000,8916
1999,2869413,8034
2000,2926324,7796
2001,2931967,7865
2002,2935840,8388
2003,2941976,8175
2004,2952904,8499
2005,2965524,8697
2006,2982085,8521
2007,2988046,8970
2008,3002555,8651
2009,3007856,8485
2010,3050202,8191
2011,3064097,7883
2012,3075039,8167
2013,3092341,8443
2014,3107126,8497

Estimated crime in Kansas

Year,Population,Violent crime total
1985,2450000,8716
1986,2461000,9076
1987,2476000,8932
1988,2487000,9083
1989,2513000,10073
1990,2477574,11093
1991,2495000,12465
1992,2523000,12888
1993,2531000,12564
1994,2554000,11314
1995,2565000,10792
1996,2572000,10642
1997,2595000,11151
1998,2629000,10972
1999,2654052,10159
2000,2688418,10470
2001,2702125,10909
2002,2711769,10229
2003,2724786,10831
2004,2733697,10330
2005,2748172,10701
2006,2764075,11960
2007,2775997,12730
2008,2802134,11554
2009,2818747,11460
2010,2859143,10602
2011,2870386,10209
2012,2885398,10292
2013,2895801,9928
2014,2904021,10123

Estimated crime in Kentucky

Year,Population,Violent crime total
1985,3726000,11384
1986,3728000,12467
1987,3727000,12589
1988,3721000,12284
1989,3727000,13302
1990,3685296,14386
1991,3713000,16262
1992,3755000,20107
1993,3789000,17530
1994,3827000,16991
1995,3860000,14079
1996,3884000,12448
1997,3908000,12386
1998,3936000,12909
1999,3960825,12212
2000,4041769,11903
2001,4068816,10510
2002,4089822,11101
2003,4118189,10232
2004,4141835,10152
2005,4172608,11134
2006,4206074,11361
2007,4241474,12329
2008,4269245,12690
2009,4314113,11000
2010,4347223,10604
2011,4366814,10465
2012,4379730,9852
2013,4399583,9280
2014,4413457,9340

Estimated crime in Louisiana

Year,Population,Violent crime total
1985,4481000,31108
1986,4501000,34128
1987,4461000,30916
1988,4420000,31711
1989,4382000,34257
1990,4219973,37914
1991,4252000,40438
1992,4287000,42209
1993,4295000,45600
1994,4315000,42369
1995,4342000,43741
1996,4351000,40426
1997,4352000,37248
1998,4369000,34057
1999,4372035,32033
2000,4468976,30440
2001,4470368,30678
2002,4476192,29690
2003,4493665,28622
2004,4506685,28844
2005,4507331,26889
2006,4287768,30923
2007,4293204,31789
2008,4410796,29613
2009,4492076,28878
2010,4545343,25241
2011,4574766,25373
2012,4602134,22839
2013,4629284,24127
2014,4649676,23934

Estimated crime in Maine

Year,Population,Violent crime total
1985,1164000,1950
1986,1174000,1726
1987,1187000,1806
1988,1206000,1898
1989,1222000,1676
1990,1227928,1759
1991,1235000,1631
1992,1235000,1616
1993,1239000,1558
1994,1240000,1611
1995,1241000,1631
1996,1243000,1553
1997,1242000,1500
1998,1244000,1566
1999,1253040,1404
2000,1274923,1397
2001,1284470,1435
2002,1294894,1396
2003,1309205,1422
2004,1314985,1364
2005,1318220,1483
2006,1321574,1533
2007,1317207,1565
2008,1316456,1572
2009,1318301,1580
2010,1327379,1621
2011,1328544,1638
2012,1328501,1626
2013,1328702,1761
2014,1330089,1700

Estimated crime in Maryland

Year,Population,Violent crime total
1985,4392000,36655
1986,4463000,37177
1987,4535000,34820
1988,4644000,37466
1989,4694000,40152
1990,4781468,43940
1991,4860000,46469
1992,4908000,49085
1993,4965000,49540
1994,5006000,47457
1995,5042000,49757
1996,5072000,47230
1997,5094000,43127
1998,5135000,40903
1999,5171634,38447
2000,5296486,41663
2001,5386079,42088
2002,5450525,42015
2003,5512310,38778
2004,5561332,38961
2005,5589599,39369
2006,5615727,38111
2007,5618344,36063
2008,5633597,35393
2009,5699478,33625
2010,5785681,31607
2011,5839572,28817
2012,5884868,28086
2013,5938737,28235
2014,5976407,26661

Estimated crime in Massachusetts

Year,Population,Violent crime total
1985,5822000,31334
1986,5832000,32476
1987,5855000,33060
1988,5871000,36376
1989,5913000,39912
1990,6016425,44300
1991,5996000,44138
1992,5998000,46727
1993,6012000,48393
1994,6041000,42749
1995,6074000,41739
1996,6092000,39122
1997,6118000,39411
1998,6147000,38192
1999,6175169,34023
2000,6349097,30230
2001,6401164,30585
2002,6421800,31137
2003,6420357,30377
2004,6407382,29489
2005,6433367,29644
2006,6437193,32217
2007,6449755,28487
2008,6497967,30137
2009,6593587,30503
2010,6555466,30737
2011,6607003,28232
2012,6645303,27047
2013,6708874,27264
2014,6745408,26399

Estimated crime in Michigan

Year,Population,Violent crime total
1985,9088000,66714
1986,9145000,73517
1987,9200000,71772
1988,9300000,68980
1989,9273000,65760
1990,9295297,73468
1991,9368000,75232
1992,9437000,72672
1993,9478000,75021
1994,9496000,72751
1995,9549000,65680
1996,9594000,60951
1997,9774000,57663
1998,9817000,60947
1999,9863775,56709
2000,9938444,55159
2001,10006266,55424
2002,10043221,54306
2003,10082364,51550
2004,10104206,49737
2005,10100833,55936
2006,10095643,56981
2007,10071822,53765
2008,10003422,51512
2009,9969727,49825
2010,9877143,48693
2011,9876801,43731
2012,9882519,44962
2013,9898193,44757
2014,9909877,42348

Estimated crime in Minnesota

Year,Population,Violent crime total
1985,4193000,10751
1986,4214000,11991
1987,4246000,12118
1988,4306000,12490
1989,4353000,12549
1990,4375099,13392
1991,4432000,14006
1992,4480000,15144
1993,4517000,15986
1994,4567000,16397
1995,4610000,16416
1996,4658000,15782
1997,4686000,15827
1998,4725000,14656
1999,4775508,13085
2000,4919479,13813
2001,4984535,13145
2002,5024791,13428
2003,5064172,13316
2004,5096546,13751
2005,5126739,15243
2006,5167101,16042
2007,5197621,15054
2008,5220393,13853
2009,5266214,12874
2010,5310658,12515
2011,5347299,12323
2012,5379646,12419
2013,5422060,12710
2014,5457173,12505

Estimated crime in Mississippi

Year,Population,Violent crime total
1985,2613000,7079
1986,2625000,7196
1987,2625000,7081
1988,2627000,8544
1989,2621000,8156
1990,2573216,8758
1991,2592000,10085
1992,2614000,10763
1993,2643000,11467
1994,2669000,13177
1995,2697000,13560
1996,2716000,13261
1997,2731000,12808
1998,2752000,11302
1999,2768619,9671
2000,2844658,10267
2001,2859733,10006
2002,2866733,9858
2003,2882594,9336
2004,2900768,8568
2005,2908496,8131
2006,2910540,9076
2007,2918785,8502
2008,2938618,8942
2009,2951996,8451
2010,2970072,7999
2011,2977457,8009
2012,2986450,7769
2013,2992206,8303
2014,2994079,8338

Estimated crime in Missouri

Year,Population,Violent crime total
1985,5029000,25321
1986,5066000,29310
1987,5103000,27792
1988,5139000,28393
1989,5159000,32634
1990,5117073,36602
1991,5158000,39358
1992,5193000,38448
1993,5234000,38963
1994,5278000,39240
1995,5324000,35339
1996,5359000,31669
1997,5402000,31192
1998,5439000,30222
1999,5468338,27353
2000,5595211,27419
2001,5637309,30472
2002,5669544,30557
2003,5719204,28067
2004,5759532,28226
2005,5797703,30477
2006,5842713,31897
2007,5878415,32962
2008,5911605,29701
2009,5987580,29513
2010,5995715,27440
2011,6008984,26888
2012,6024522,27189
2013,6044917,26216
2014,6063589,26856

Estimated crime in Montana

Year,Population,Violent crime total
1985,826000,1722
1986,819000,1289
1987,809000,1223
1988,804000,989
1989,806000,935
1990,799065,1273
1991,808000,1130
1992,824000,1400
1993,839000,1489
1994,856000,1516
1995,870000,1491
1996,879000,1415
1997,879000,1161
1998,880000,1797
1999,882779,2090
2000,902195,2807
2001,905382,3187
2002,910372,3197
2003,918157,3351
2004,926920,2723
2005,934737,2634
2006,944632,3564
2007,957861,3638
2008,967440,3013
2009,974989,2798
2010,990958,2733
2011,997667,2755
2012,1005494,2803
2013,1014864,2924
2014,1023579,3313

Estimated crime in Nebraska

Year,Population,Violent crime total
1985,1606000,3821
1986,1598000,4196
1987,1594000,4004
1988,1601000,4374
1989,1611000,4503
1990,1578385,5209
1991,1593000,5330
1992,1606000,5598
1993,1607000,6071
1994,1623000,6322
1995,1637000,6253
1996,1652000,7182
1997,1657000,7265
1998,1663000,7507
1999,1666028,7167
2000,1711263,5606
2001,1720039,5214
2002,1727564,5428
2003,1737475,5105
2004,1747704,5393
2005,1758163,5052
2006,1768331,5197
2007,1774571,5524
2008,1783432,5570
2009,1796619,5199
2010,1830141,5093
2011,1842234,4672
2012,1855350,4802
2013,1868969,4949
2014,1881503,5275

Estimated crime in Nevada

Year,Population,Violent crime total
1985,936000,6244
1986,963000,6923
1987,1007000,7006
1988,1060000,8275
1989,1111000,6947
1990,1201833,7222
1991,1284000,8693
1992,1327000,9247
1993,1389000,12157
1994,1457000,14597
1995,1530000,14461
1996,1603000,13005
1997,1677000,13395
1998,1747000,11244
1999,1809253,10311
2000,1998257,10474
2001,2097722,12359
2002,2167455,13856
2003,2242207,13813
2004,2332898,14379
2005,2412301,14654
2006,2495529,18687
2007,2565382,19365
2008,2600167,18973
2009,2643085,18639
2010,2704283,17929
2011,2720028,15452
2012,2754354,16763
2013,2791494,16888
2014,2839099,18045

Estimated crime in New Hampshire

Year,Population,Violent crime total
1985,998000,1405
1986,1027000,1433
1987,1057000,1581
1988,1097000,1622
1989,1107000,1865
1990,1109252,1459
1991,1105000,1318
1992,1111000,1397
1993,1125000,1550
1994,1137000,1328
1995,1148000,1314
1996,1162000,1373
1997,1173000,1328
1998,1185000,1270
1999,1201134,1159
2000,1235786,2167
2001,1259359,2144
2002,1274405,2056
2003,1288705,1937
2004,1299169,2202
2005,1306819,1761
2006,1314895,1785
2007,1315828,1896
2008,1315809,2054
2009,1324575,2125
2010,1316807,2204
2011,1317807,2864
2012,1321617,2841
2013,1322616,2952
2014,1326813,2602

Estimated crime in New Jersey

Year,Population,Violent crime total
1985,7562000,41172
1986,7620000,43623
1987,7672000,41507
1988,7720000,44993
1989,7736000,47111
1990,7730188,50057
1991,7760000,49257
1992,7789000,48745
1993,7879000,49390
1994,7904000,48544
1995,7945000,47652
1996,7988000,42459
1997,8053000,39673
1998,8115000,35720
1999,8143412,33540
2000,8414350,32298
2001,8511116,33094
2002,8575252,32252
2003,8642412,31488
2004,8685166,30943
2005,8703150,30919
2006,8724560,30550
2007,8685920,28544
2008,8682661,28351
2009,8707739,27113
2010,8799593,27055
2011,8834773,27203
2012,8867749,25727
2013,8911502,25748
2014,8938175,23346

Estimated crime in New Mexico

Year,Population,Violent crime total
1985,1450000,10207
1986,1479000,10731
1987,1500000,9427
1988,1510000,9938
1989,1528000,10755
1990,1515069,11821
1991,1548000,12922
1992,1581000,14781
1993,1616000,15024
1994,1654000,14708
1995,1685000,13804
1996,1713000,14399
1997,1730000,14762
1998,1737000,16700
1999,1739844,14520
2000,1819046,13786
2001,1830935,14288
2002,1852044,13719
2003,1878562,12535
2004,1903006,13081
2005,1925985,12448
2006,1954599,12797
2007,1969915,13311
2008,1984356,12967
2009,2009671,12709
2010,2065913,12147
2011,2078674,11904
2012,2083540,11660
2013,2086895,12990
2014,2085572,12459

Estimated crime in New York

Year,Population,Violent crime total
1985,17783000,165365
1986,17772000,175210
1987,17825000,179691
1988,17898000,196396
1989,17950000,203042
1990,17990455,212458
1991,18058000,210184
1992,18119000,203311
1993,18197000,195352
1994,18169000,175433
1995,18136000,152683
1996,18185000,132206
1997,18137000,124890
1998,18175000,115915
1999,18196601,107147
2000,18976457,105111
2001,19084350,98022
2002,19134293,95030
2003,19212425,89486
2004,19280727,84914
2005,19315721,85839
2006,19306183,84016
2007,19297729,79962
2008,19490297,77546
2009,19541453,75110
2010,19395206,76492
2011,19501616,77463
2012,19576125,79535
2013,19695680,77563
2014,19746227,75398

Estimated crime in North Carolina

Year,Population,Violent crime total
1985,6255000,26327
1986,6331000,30128
1987,6413000,31039
1988,6526000,32753
1989,6571000,35902
1990,6628637,41332
1991,6737000,44355
1992,6843000,46600
1993,6945000,47178
1994,7070000,46308
1995,7195000,46508
1996,7323000,43068
1997,7425000,45071
1998,7546000,43723
1999,7650789,41474
2000,8049313,40051
2001,8206105,40465
2002,8305820,39118
2003,8421190,38243
2004,8540468,38244
2005,8672459,40650
2006,8856505,42088
2007,9061032,42231
2008,9222414,43125
2009,9380884,37946
2010,9560234,34679
2011,9651103,33421
2012,9748364,34464
2013,9848917,33587
2014,9943964,32767

Estimated crime in North Dakota

Year,Population,Violent crime total
1985,685000,322
1986,679000,348
1987,672000,382
1988,663000,392
1989,660000,417
1990,638800,472
1991,635000,415
1992,636000,530
1993,635000,522
1994,638000,522
1995,641000,556
1996,644000,541
1997,641000,559
1998,638000,570
1999,633666,424
2000,642200,523
2001,636550,505
2002,633911,496
2003,633400,508
2004,636308,558
2005,634605,706
2006,635867,1255
2007,639715,1343
2008,641481,1441
2009,646844,1723
2010,674629,1548
2011,684740,1699
2012,701345,1723
2013,723857,1979
2014,739482,1960

Estimated crime in Ohio

Year,Population,Violent crime total
1985,10744000,41000
1986,10752000,45260
1987,10784000,45436
1988,10872000,49144
1989,10907000,51109
1990,10847115,54904
1991,10939000,61460
1992,11016000,57935
1993,11091000,55915
1994,11102000,53930
1995,11151000,53799
1996,11173000,47896
1997,11186000,48706
1998,11209000,40628
1999,11256654,35616
2000,11353140,37935
2001,11389785,40023
2002,11408699,40128
2003,11437680,38185
2004,11450143,38787
2005,11470685,40162
2006,11478006,41491
2007,11466917,40759
2008,11485910,40436
2009,11542645,38305
2010,11537968,36306
2011,11541007,35218
2012,11553031,34827
2013,11572005,33722
2014,11594163,33030

Estimated crime in Oklahoma

Year,Population,Violent crime total
1985,3301000,13930
1986,3305000,14423
1987,3272000,13664
1988,3263000,14179
1989,3224000,15847
1990,3145585,17222
1991,3175000,18533
1992,3212000,20005
1993,3231000,20512
1994,3258000,21225
1995,3278000,21770
1996,3301000,19710
1997,3317000,18560
1998,3347000,18053
1999,3358044,17066
2000,3450654,17177
2001,3469577,17726
2002,3489700,17587
2003,3506469,17758
2004,3523546,17635
2005,3543442,18044
2006,3579212,17905
2007,3617316,18234
2008,3642361,19359
2009,3687050,18560
2010,3760184,18100
2011,3784163,17311
2012,3815780,18102
2013,3853118,17187
2014,3878051,15744

Estimated crime in Oregon

Year,Population,Violent crime total
1985,2687000,14807
1986,2698000,14830
1987,2724000,14697
1988,2741000,14959
1989,2820000,14625
1990,2842321,14405
1991,2922000,14795
1992,2977000,15189
1993,3032000,15254
1994,3086000,16067
1995,3141000,16408
1996,3204000,14837
1997,3243000,14412
1998,3282000,13778
1999,3316154,12432
2000,3421399,12000
2001,3473441,10650
2002,3520355,10298
2003,3564330,10506
2004,3591363,10724
2005,3638871,10444
2006,3700758,10534
2007,3747455,11015
2008,3790060,9909
2009,3825657,9968
2010,3838332,9648
2011,3868229,9643
2012,3899801,9638
2013,3928068,9536
2014,3970239,9224

Estimated crime in Pennsylvania

Year,Population,Violent crime total
1985,11853000,39240
1986,11889000,42629
1987,11936000,44087
1988,12027000,43534
1989,12040000,45586
1990,11881643,51213
1991,11961000,53824
1992,12009000,51276
1993,12048000,50295
1994,12052000,51425
1995,12072000,51586
1996,12056000,57905
1997,12020000,53140
1998,12001000,50470
1999,11994016,50431
2000,12281054,51584
2001,12303104,50432
2002,12328827,49578
2003,12370761,49210
2004,12394471,50998
2005,12405348,52761
2006,12440621,55028
2007,12432792,51806
2008,12448279,51044
2009,12604767,48188
2010,12717722,46612
2011,12743948,46189
2012,12764475,45384
2013,12781296,42825
2014,12787209,40164

Estimated crime in Rhode Island

Year,Population,Violent crime total
1985,968000,3355
1986,975000,3271
1987,986000,3547
1988,995000,3947
1989,998000,3772
1990,1003464,4334
1991,1004000,4638
1992,1005000,3965
1993,1000000,4017
1994,997000,3744
1995,990000,3643
1996,990000,3437
1997,987000,3292
1998,988000,3084
1999,990819,2840
2000,1048319,3121
2001,1059659,3278
2002,1068326,3051
2003,1076084,3074
2004,1079916,2673
2005,1073579,2710
2006,1067610,2460
2007,1057832,2424
2008,1050788,2656
2009,1053209,2678
2010,1052528,2709
2011,1050646,2586
2012,1050304,2657
2013,1053354,2710
2014,1055173,2313

Estimated crime in South Carolina

Year,Population,Violent crime total
1985,3347000,21121
1986,3378000,22789
1987,3425000,22773
1988,3493000,25889
1989,3512000,28576
1990,3486703,34050
1991,3560000,34621
1992,3603000,34029
1993,3643000,37281
1994,3664000,37756
1995,3673000,36067
1996,3699000,36875
1997,3760000,37235
1998,3836000,34647
1999,3885736,32920
2000,4012012,33225
2001,4062125,33114
2002,4103770,33761
2003,4148744,33455
2004,4197892,33160
2005,4246933,32590
2006,4321249,33322
2007,4407709,34630
2008,4479800,32746
2009,4561242,30799
2010,4637106,27923
2011,4673348,27894
2012,4723417,26474
2013,4771929,24263
2014,4832482,24052

Estimated crime in South Dakota

Year,Population,Violent crime total
1985,708000,967
1986,708000,883
1987,709000,849
1988,715000,813
1989,715000,969
1990,696004,1133
1991,703000,1281
1992,711000,1383
1993,715000,1490
1994,721000,1641
1995,729000,1513
1996,732000,1297
1997,738000,1457
1998,738000,1139
1999,733133,1227
2000,754844,1259
2001,758324,1171
2002,760437,1350
2003,764905,1329
2004,770621,1319
2005,774883,1387
2006,781919,2071
2007,796214,1926
2008,804194,2227
2009,812383,1777
2010,816598,2196
2011,823593,2105
2012,834047,2701
2013,845510,2733
2014,853175,2786

Estimated crime in Tennessee

Year,Population,Violent crime total
1985,4762000,22592
1986,4803000,25919
1987,4855000,25900
1988,4919000,26205
1989,4940000,27118
1990,4877185,32698
1991,4953000,35955
1992,5024000,37487
1993,5099000,39047
1994,5175000,38705
1995,5256000,40549
1996,5320000,41175
1997,5368000,42389
1998,5431000,38832
1999,5483535,38111
2000,5689283,40233
2001,5749398,42776
2002,5789796,41562
2003,5845208,40409
2004,5893298,41113
2005,5955745,45104
2006,6038803,46043
2007,6156719,46482
2008,6214888,44913
2009,6296254,41933
2010,6357436,38909
2011,6399787,38895
2012,6454914,41213
2013,6497269,38063
2014,6549352,39848

Estimated crime in Texas

Year,Population,Violent crime total
1985,16370000,90030
